geometry, dimension, cardinality, alpha
disconnected, 7, 150, 2.794190
disconnected, 7, 200, 2.325785
disconnected, 7, 250, 2.302455
disconnected, 7, 300, 2.335759
disconnected, 8, 25, 2.320526
disconnected, 8, 50, 2.264321
disconnected, 8, 75, 1.930953
disconnected, 8, 100, 1.919771
disconnected, 8, 150, 2.161711
disconnected, 8, 200, 2.327756
disconnected, 8, 250, 2.345974
disconnected, 8, 300, 2.333467
disconnected, 9, 25, 2.098326
disconnected, 9, 50, 2.348334
disconnected, 9, 75, 2.401041
disconnected, 9, 100, 2.417407
disconnected, 9, 150, 2.695276
disconnected, 9, 200, 2.858012
disconnected, 9, 250, 2.912923
disconnected, 9, 300, 2.990316
disconnected, 10, 25, 2.847458
disconnected, 10, 50, 2.034026
disconnected, 10, 75, 2.034022
disconnected, 10, 100, 4.166962
disconnected, 10, 150, 4.218578
disconnected, 10, 200, 4.343824
disconnected, 10, 250, 4.278215
disconnected, 10, 300, 4.133413
degenerate, 2, 25, 3.062117
degenerate, 2, 50, 10.790487
degenerate, 2, 75, 3.844761
degenerate, 2, 100, 2.364050
degenerate, 2, 150, 13.153001
degenerate, 2, 200, 0.730829
degenerate, 2, 250, 14.671546
degenerate, 2, 300, 3.911093
degenerate, 3, 25, 2.456639
degenerate, 3, 50, 1.277577
degenerate, 3, 75, 12.051946
degenerate, 3, 100, 3.013624
degenerate, 3, 150, 20.324621
degenerate, 3, 200, 6.581543
degenerate, 3, 250, 0.705254
degenerate, 3, 300, 1.512929
degenerate, 4, 25, 0.000001
degenerate, 4, 50, 6.493536
degenerate, 4, 75, 2.873053
degenerate, 4, 100, 13.828715
degenerate, 4, 150, 10.782445
degenerate, 4, 200, 14.962791
degenerate, 4, 250, 3.685926
degenerate, 4, 300, 0.355907
degenerate, 5, 25, 8.051422
degenerate, 5, 50, 11.279203
degenerate, 5, 75, 3.072663
degenerate, 5, 100, 14.096876
degenerate, 5, 150, 1.704425
degenerate, 5, 200, 9.596102
degenerate, 5, 250, 32.208462
degenerate, 5, 300, 27.363019
degenerate, 6, 25, 8.198050
degenerate, 6, 50, 11.809507
degenerate, 6, 75, 20.199444
degenerate, 6, 100, 20.250904
degenerate, 6, 150, 29.616740
degenerate, 6, 200, 0.844898
degenerate, 6, 250, 0.657420
degenerate, 6, 300, 2.437130
degenerate, 7, 25, 8.248764
degenerate, 7, 50, 13.726220
degenerate, 7, 75, 0.471459
degenerate, 7, 100, 5.397276
degenerate, 7, 150, 0.002409
degenerate, 7, 200, 0.944478
degenerate, 7, 250, 1.642276
degenerate, 7, 300, 3.207192
degenerate, 8, 25, 7.028787
degenerate, 8, 50, 11.201762
degenerate, 8, 75, 19.725981
degenerate, 8, 100, 20.259576
degenerate, 8, 150, 4.571880
degenerate, 8, 200, 7.939461
degenerate, 8, 250, 1.761982
degenerate, 8, 300, 7.266515
degenerate, 9, 25, 9.034919
degenerate, 9, 50, 9.365937
degenerate, 9, 75, 25.630978
degenerate, 9, 100, 4.419066
degenerate, 9, 150, 1.963146
degenerate, 9, 200, 6.566200
degenerate, 9, 250, 30.124839
degenerate, 9, 300, 4.069778
degenerate, 10, 25, 8.909674
degenerate, 10, 50, 9.551921
degenerate, 10, 75, 15.039765
degenerate, 10, 100, 18.140071
degenerate, 10, 150, 0.730829
degenerate, 10, 200, 2.114934
degenerate, 10, 250, 1.978673
degenerate, 10, 300, 1.926154
