geometry, dimension, cardinality, alpha
disconnected, 10, 25, 7.607826
disconnected, 10, 50, 5.023163
disconnected, 10, 75, 4.942005
disconnected, 10, 100, 16.503168
disconnected, 10, 150, 11.500846
disconnected, 10, 200, 15.164571
disconnected, 10, 250, 15.739974
disconnected, 10, 300, 15.703071
degenerate, 2, 25, 2.013271
degenerate, 2, 50, 1.469603
degenerate, 2, 75, 1.815377
degenerate, 2, 100, 4.052395
degenerate, 2, 150, 1.847182
degenerate, 2, 200, 1.404015
degenerate, 2, 250, 1.968727
degenerate, 2, 300, 1.867787
degenerate, 3, 25, 4.986852
degenerate, 3, 50, 2.826678
degenerate, 3, 75, 1.519763
degenerate, 3, 100, 7.515737
degenerate, 3, 150, 7.901485
degenerate, 3, 200, 5.705597
degenerate, 3, 250, 2.973002
degenerate, 3, 300, 7.057596
degenerate, 4, 25, 3.513979
degenerate, 4, 50, 3.462310
degenerate, 4, 75, 4.367533
degenerate, 4, 100, 4.614535
degenerate, 4, 150, 3.749246
degenerate, 4, 200, 6.058477
degenerate, 4, 250, 4.662270
degenerate, 4, 300, 5.311621
degenerate, 5, 25, 5.348460
degenerate, 5, 50, 3.990863
degenerate, 5, 75, 6.884325
degenerate, 5, 100, 3.426877
degenerate, 5, 150, 2.006489
degenerate, 5, 200, 2.405915
degenerate, 5, 250, 2.522449
degenerate, 5, 300, 6.726300
degenerate, 6, 25, 0.915479
degenerate, 6, 50, 1.526580
degenerate, 6, 75, 6.092872
degenerate, 6, 100, 3.039301
degenerate, 6, 150, 0.684014
degenerate, 6, 200, 0.720456
degenerate, 6, 250, 0.701767
degenerate, 6, 300, 4.220422
degenerate, 7, 25, 1.464942
degenerate, 7, 50, 0.713812
degenerate, 7, 75, 0.454112
degenerate, 7, 100, 0.520037
degenerate, 7, 150, 0.739331
degenerate, 7, 200, 0.520514
degenerate, 7, 250, 0.562760
degenerate, 7, 300, 0.426932
degenerate, 8, 25, 0.620417
degenerate, 8, 50, 0.610089
degenerate, 8, 75, 0.269258
degenerate, 8, 100, 0.447882
degenerate, 8, 150, 0.405238
degenerate, 8, 200, 0.344777
degenerate, 8, 250, 0.413459
degenerate, 8, 300, 0.493935
degenerate, 9, 25, 0.273148
degenerate, 9, 50, 0.257361
degenerate, 9, 75, 0.302286
degenerate, 9, 100, 0.326034
degenerate, 9, 150, 0.355141
degenerate, 9, 200, 0.300376
degenerate, 9, 250, 0.266666
degenerate, 9, 300, 0.408791
degenerate, 10, 25, 0.122871
degenerate, 10, 50, 0.096084
degenerate, 10, 75, 0.226869
degenerate, 10, 100, 0.144006
degenerate, 10, 150, 0.140267
degenerate, 10, 200, 0.258170
degenerate, 10, 250, 0.288306
degenerate, 10, 300, 0.377702
