geometry, dimension, cardinality, alpha
degenerate, 9, 50, 293.426559
degenerate, 9, 75, 217.589029
degenerate, 9, 100, 355.559805
degenerate, 9, 150, 59.717373
degenerate, 9, 200, 481.809993
degenerate, 9, 250, 383.028485
degenerate, 9, 300, 1241.959394
degenerate, 10, 25, 254.382952
degenerate, 10, 50, 67.148296
degenerate, 10, 75, 183.338071
degenerate, 10, 100, 237.468579
degenerate, 10, 150, 283.663337
degenerate, 10, 200, 201.228149
degenerate, 10, 250, 482.739156
degenerate, 10, 300, 811.073259
