geometry, dimension, cardinality, alpha
degenerate, 4, 75, 28820.343531
degenerate, 4, 100, 54409.975663
degenerate, 4, 150, 127789.396669
degenerate, 4, 200, 228984.652086
degenerate, 4, 250, 344183.539350
degenerate, 4, 300, 466552.310965
degenerate, 5, 25, 3259.199004
degenerate, 5, 50, 11405.051289
degenerate, 5, 75, 27459.255858
degenerate, 5, 100, 42729.809881
degenerate, 5, 150, 112133.329138
degenerate, 5, 200, 157249.689058
degenerate, 5, 250, 280105.261183
degenerate, 5, 300, 375601.449233
degenerate, 6, 25, 2477.601625
degenerate, 6, 50, 9693.149601
degenerate, 6, 75, 21147.093237
degenerate, 6, 100, 37468.782561
degenerate, 6, 150, 86205.573330
degenerate, 6, 200, 154172.314482
degenerate, 6, 250, 226216.371120
degenerate, 6, 300, 326847.312184
degenerate, 7, 25, 2477.689741
degenerate, 7, 50, 9246.513521
degenerate, 7, 75, 20429.051592
degenerate, 7, 100, 32870.174692
degenerate, 7, 150, 69955.746389
degenerate, 7, 200, 123299.148372
degenerate, 7, 250, 195508.418027
degenerate, 7, 300, 261737.407428
degenerate, 8, 25, 1840.612382
degenerate, 8, 50, 8399.278383
degenerate, 8, 75, 16757.208402
degenerate, 8, 100, 29607.622014
degenerate, 8, 150, 63266.634839
degenerate, 8, 200, 112384.069705
degenerate, 8, 250, 173742.414617
degenerate, 8, 300, 235323.786355
degenerate, 9, 25, 1812.203265
degenerate, 9, 50, 6950.200282
degenerate, 9, 75, 15381.405924
degenerate, 9, 100, 27050.678911
degenerate, 9, 150, 57498.072749
degenerate, 9, 200, 101915.536189
degenerate, 9, 250, 155402.469920
degenerate, 9, 300, 217138.133830
degenerate, 10, 25, 1644.333845
degenerate, 10, 50, 5778.140923
degenerate, 10, 75, 13967.299026
degenerate, 10, 100, 25083.244558
degenerate, 10, 150, 52443.624484
degenerate, 10, 200, 91766.094599
degenerate, 10, 250, 147257.054413
degenerate, 10, 300, 194321.815921
